PhotoID	Link	Gallery	Category	Created	Photo	URL
79	http://www.ceelogreen.com/photos,behind-the-scenes-the-voice-season-2_18.htm?photo=158#photo	Behind The Scenes: The Voice Season 2	Official	2012-03-08 02:07:46.087		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/158/163.jpg
80	http://www.ceelogreen.com/photos,behind-the-scenes-the-voice-season-2_18.htm?photo=159#photo	Behind The Scenes: The Voice Season 2	Official	2012-03-08 02:08:01.370		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/159/164.jpg
81	http://www.ceelogreen.com/photos,behind-the-scenes-the-voice-season-2_18.htm?photo=160#photo	Behind The Scenes: The Voice Season 2	Official	2012-03-08 02:08:16.510		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/160/165.jpg
82	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=98#photo	Super Bowl 2012	Live	2012-02-07 00:01:19.150		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/98/103.jpg
83	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=99#photo	Super Bowl 2012	Live	2012-02-07 00:01:40.667		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/99/104.jpg
84	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=100#photo	Super Bowl 2012	Live	2012-02-07 00:02:00.540		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/100/105.jpg
85	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=101#photo	Super Bowl 2012	Live	2012-02-07 00:02:46.980		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/101/106.jpg
86	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=102#photo	Super Bowl 2012	Live	2012-02-07 00:03:07.760		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/102/107.jpg
87	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=103#photo	Super Bowl 2012	Live	2012-02-07 00:03:30.430		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/103/108.jpg
88	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=104#photo	Super Bowl 2012	Live	2012-02-07 00:03:52.290		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/104/109.jpg
89	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=105#photo	Super Bowl 2012	Live	2012-02-07 00:04:15.337		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/105/110.jpg
90	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=106#photo	Super Bowl 2012	Live	2012-02-07 00:04:46.510		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/106/111.jpg
91	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=107#photo	Super Bowl 2012	Live	2012-02-07 00:05:17.917		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/107/112.jpg
92	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=108#photo	Super Bowl 2012	Live	2012-02-07 00:05:48.463		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/108/113.jpg
93	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=109#photo	Super Bowl 2012	Live	2012-02-07 00:06:09.930		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/109/114.jpg
94	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=110#photo	Super Bowl 2012	Live	2012-02-07 00:06:48.993		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/110/115.jpg
95	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=111#photo	Super Bowl 2012	Live	2012-02-07 00:07:14.743		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/111/116.jpg
96	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=112#photo	Super Bowl 2012	Live	2012-02-07 00:07:35.057		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/112/117.jpg
97	http://www.ceelogreen.com/photos,super-bowl-2012_19.htm?photo=113#photo	Super Bowl 2012	Live	2012-02-07 00:08:03.807		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/113/118.jpg
98	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=114#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:03:40.023		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/114/119.jpg
99	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=115#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:03:54.273		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/115/120.jpg
100	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=116#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:04:32.087		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/116/121.jpg
101	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=117#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:04:43.960		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/117/122.jpg
102	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=118#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:04:56.633		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/118/123.jpg
103	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=119#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:05:47.697		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/119/124.jpg
104	http://www.ceelogreen.com/photos,keep-memory-alives-power-of-love-gala-celebrates-muhammad-ali_20.htm?photo=120#photo	Keep Memory Alive's Power Of Love Gala Celebrates Muhammad Ali	Live	2012-02-24 02:06:01.960		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/120/125.jpg
105	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=121#photo	Escape To Total Rewards	Live	2012-03-04 18:08:58.260		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/121/126.jpg
106	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=122#photo	Escape To Total Rewards	Live	2012-03-04 18:09:18.837		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/122/127.jpg
107	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=123#photo	Escape To Total Rewards	Live	2012-03-04 18:09:37.103		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/123/128.jpg
108	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=124#photo	Escape To Total Rewards	Live	2012-03-04 18:09:53.557		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/124/129.jpg
109	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=125#photo	Escape To Total Rewards	Live	2012-03-04 18:10:08.150		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/125/130.jpg
110	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=126#photo	Escape To Total Rewards	Live	2012-03-04 18:10:23.977		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/126/131.jpg
111	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=127#photo	Escape To Total Rewards	Live	2012-03-04 18:10:46.040		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/127/132.jpg
112	http://www.ceelogreen.com/photos,escape-to-total-rewards_21.htm?photo=128#photo	Escape To Total Rewards	Live	2012-03-04 18:11:00.993		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/128/133.jpg
